w,l,wl,srs_adj,sos_adj,ap_pre,ap_high,ap_final,adj_ncaa
14,11,0.56,21.88,0,0,0,0,0
18,7,0.72,26.57,0.22,0,0,0,0
17,8,0.68,28.02,0.97,0,0,0,0
15,11,0.577,32.91,1.77,0,0,0,0
11,13,0.458,18.88,1.87,0,0,0,0
15,9,0.625,22.58,1.93,0,0,0,0
12,12,0.5,17.67,2.02,0,0,0,0
3,20,0.13,9.87,2.63,0,0,0,0
16,9,0.64,28.55,2.66,0,0,0,0
6,11,0.353,11.26,3.38,0,0,0,0
13,13,0.5,24.84,4.79,0,0,0,0
11,7,0.611,31.93,4.82,0,0,0,0
2,17,0.105,3.46,5.13,0,0,0,0
11,17,0.393,24.67,5.27,0,0,0,0
7,17,0.292,17.72,5.81,0,0,0,0
10,10,0.5,28.92,5.87,0,0,0,0
2,24,0.077,10.52,6.07,0,0,0,0
15,13,0.536,32.24,6.62,0,0,0,0
13,10,0.565,27.64,6.82,0,0,0,0
18,9,0.667,31.14,6.87,0,0,0,0
7,14,0.333,23.67,6.89,0,0,0,0
11,12,0.478,23.51,6.96,0,0,0,0
15,9,0.625,27.07,7.05,0,0,0,0.26
16,13,0.552,30.76,7.13,0,0,0,0
10,15,0.4,22.47,7.36,0,0,0,0
3,20,0.13,4.14,7.39,0,0,0,0
10,19,0.345,24.84,7.4,0,0,0,0
15,8,0.652,31.85,7.49,0,0,0,0
7,19,0.269,22.98,7.53,0,0,0,0
9,12,0.429,22.32,7.62,0,0,0,0
16,8,0.667,33.75,7.63,0,0,0,0
13,10,0.565,23.39,7.67,0,0,0,0
1,22,0.043,8.21,7.74,0,0,0,0
10,18,0.357,24.66,7.78,0,0,0,0
12,12,0.5,18.36,7.81,0,0,0,0
2,25,0.074,6.37,7.82,0,0,0,0
18,9,0.667,33.95,7.9,0,0,0,0
10,17,0.37,24.01,7.96,0,0,0,0
14,15,0.483,31.17,7.97,0,0,0,0
11,16,0.407,27.46,8.02,0,0,0,0
18,11,0.621,29.75,8.05,0,0,0,0
11,18,0.379,23.24,8.09,0,0,0,0
12,16,0.429,23.5,8.26,0,0,0,0
10,13,0.435,29.26,8.26,0,0,0,0
21,10,0.677,32.73,8.28,0,0,0,0.26
19,13,0.594,30.76,8.31,0,0,0,0
11,12,0.478,26.18,8.33,0,0,0,0
12,7,0.632,35.08,8.39,0,0,0,0
22,7,0.759,38.26,8.4,0,0,0,0
0,17,0,1.32,8.44,0,0,0,0
10,17,0.37,22.95,8.44,0,0,0,0
16,14,0.533,31.27,8.51,0,0,0,0
21,7,0.75,36.8,8.54,0,0,0,0
3,18,0.143,18.32,8.65,0,0,0,0
8,19,0.296,22.28,8.69,0,0,0,0
13,9,0.591,31.5,8.72,0,0,0,0
2,19,0.095,13.34,8.79,0,0,0,0
22,9,0.71,35.15,8.85,0,0,0,0.26
8,15,0.348,22.51,8.87,0,0,0,0
4,16,0.2,9.69,8.97,0,0,0,0
10,18,0.357,26.52,8.97,0,0,0,0
14,11,0.56,30.69,9.01,0,0,0,0
15,14,0.517,31.36,9.01,0,0,0,0
13,13,0.5,32.21,9.02,0,0,0,0
14,15,0.483,28.48,9.08,0,0,0,0
8,17,0.32,26,9.1,0,0,0,0
18,10,0.643,26.49,9.14,0,0,0,0
8,15,0.348,30.11,9.14,0,0,0,0
12,14,0.462,24.02,9.18,0,0,0,0
11,17,0.393,22.57,9.19,0,0,0,0
11,19,0.367,21.53,9.23,0,0,0,0
11,15,0.423,27.22,9.23,0,0,0,0
12,11,0.522,22.45,9.24,0,0,0,0
16,7,0.696,36.41,9.24,0,0,0,0
11,16,0.407,23.76,9.25,0,0,0,0
14,16,0.467,25.48,9.25,0,0,0,0
4,24,0.143,16.57,9.26,0,0,0,0
9,20,0.31,26.51,9.26,0,0,0,0
14,9,0.609,30.95,9.26,0,0,0,0
6,17,0.261,19.75,9.31,0,0,0,0
16,13,0.552,29.88,9.33,0,0,0,0
10,13,0.435,19.16,9.34,0,0,0,0
8,14,0.364,23.1,9.36,0,0,0,0
8,19,0.296,26.2,9.38,0,0,0,0
22,8,0.733,38.75,9.38,0,0,0,0.26
21,8,0.724,41.49,9.38,0,0,0,0
8,16,0.333,23.11,9.4,0,0,0,0
13,13,0.5,29.86,9.43,0,0,0,0
16,9,0.64,33.55,9.43,0,0,0,0
19,10,0.655,33.46,9.47,0,0,0,0
14,15,0.483,30.17,9.48,0,0,0,0
22,8,0.733,35.35,9.5,0,0,0,0
6,19,0.24,23.32,9.53,0,0,0,0
12,15,0.444,26.21,9.53,0,0,0,0
14,10,0.583,29.44,9.53,0,0,0,0
14,15,0.483,28.03,9.55,0,0,0,0
22,7,0.759,39.62,9.55,0,0,0,0
14,14,0.5,28,9.57,0,0,0,0
19,9,0.679,32.7,9.58,0,0,0,0
10,16,0.385,26.98,9.59,0,0,0,0
14,12,0.538,28.28,9.59,0,0,0,0
7,21,0.25,16.53,9.65,0,0,0,0
7,15,0.318,17.31,9.65,0,0,0,0
12,16,0.429,31.01,9.68,0,0,0,0
9,18,0.333,20.45,9.69,0,0,0,0
7,21,0.25,20.96,9.71,0,0,0,0
14,12,0.538,26.89,9.71,0,0,0,0
12,17,0.414,28.85,9.71,0,0,0,0
9,15,0.375,19.93,9.72,0,0,0,0
9,18,0.333,23.23,9.72,0,0,0,0
18,9,0.667,34.85,9.74,0,0,0,0
19,10,0.655,35.04,9.75,0,0,0,0
20,11,0.645,36.28,9.76,0,0,0,0
7,22,0.241,23.21,9.77,0,0,0,0
22,8,0.733,36.26,9.79,0,0,0,0.26
9,19,0.321,26.1,9.84,0,0,0,0
20,6,0.769,31.85,9.85,0,0,0,0
19,9,0.679,40.57,9.86,0,0,0,0
3,25,0.107,17.51,9.88,0,0,0,0
7,20,0.259,22.03,9.9,0,0,0,0
16,16,0.5,33.84,9.9,0,0,0,0.26
16,13,0.552,31,9.93,0,0,0,0
10,17,0.37,28.18,9.95,0,0,0,0
12,15,0.444,31.83,9.96,0,0,0,0
12,11,0.522,26.44,9.97,0,0,0,0
15,13,0.536,28.92,9.97,0,0,0,0
22,7,0.759,35.54,9.99,0,0,0,0
6,16,0.273,21.77,10,0,0,0,0
9,15,0.375,22.48,10,0,0,0,0
13,14,0.481,28.05,10,0,0,0,0
11,10,0.524,22.28,10.01,0,0,0,0
12,17,0.414,27.85,10.02,0,0,0,0
11,11,0.5,28.44,10.02,0,0,0,0
20,5,0.8,43.73,10.02,0,0,0,0
7,19,0.269,20.52,10.05,0,0,0,0
10,18,0.357,24.72,10.05,0,0,0,0
12,8,0.6,34.23,10.05,0,0,0,0
7,13,0.35,6,10.08,0,0,0,0
4,17,0.19,16.19,10.08,0,0,0,0
12,8,0.6,36.18,10.08,0,0,0,0
14,14,0.5,31.13,10.1,0,0,0,0
8,19,0.296,23.66,10.11,0,0,0,0
13,15,0.464,27.45,10.11,0,0,0,0
14,11,0.56,27.63,10.15,0,0,0,0
8,18,0.308,15.21,10.16,0,0,0,0
7,21,0.25,23.79,10.16,0,0,0,0
13,16,0.448,28.2,10.17,0,0,0,0
7,22,0.241,21.77,10.22,0,0,0,0
19,9,0.679,36.97,10.22,0,0,0,0
8,20,0.286,23.79,10.24,0,0,0,0
24,6,0.8,43.35,10.26,0,0,0,0.26
16,13,0.552,32,10.3,0,0,0,0
14,15,0.483,32.18,10.31,0,0,0,0
11,17,0.393,20.06,10.33,0,0,0,0
4,21,0.16,20.88,10.33,0,0,0,0
16,14,0.533,28.22,10.35,0,0,0,0
19,9,0.679,36.11,10.36,0,0,0,0.26
19,10,0.655,35.68,10.37,0,0,0,0
13,12,0.52,36.76,10.37,0,0,0,0
5,17,0.227,18.04,10.38,0,0,0,0
6,23,0.207,12.11,10.39,0,0,0,0
14,13,0.519,30.19,10.39,0,0,0,0
24,4,0.857,38.84,10.39,0,0,0,0
12,8,0.6,27.28,10.4,0,0,0,0
12,11,0.522,31.78,10.41,0,0,0,0
20,9,0.69,35.48,10.41,0,0,0,0
13,16,0.448,26.69,10.42,0,0,0,0
16,15,0.516,29.6,10.44,0,0,0,0
4,19,0.174,23.3,10.46,0,0,0,0
15,10,0.6,26.26,10.46,0,0,0,0
15,9,0.625,25.27,10.47,0,0,0,0
13,16,0.448,28.86,10.47,0,0,0,0
12,14,0.462,30.78,10.47,0,0,0,0
22,2,0.917,42.31,10.49,0,0.533,0,0
13,15,0.464,33.14,10.51,0,0,0,0
2,19,0.095,0,10.52,0,0,0,0
14,10,0.583,32.73,10.52,0,0,0,0
20,10,0.667,34.3,10.52,0,0,0,0
16,11,0.593,36.72,10.52,0,0,0,0
11,16,0.407,22.48,10.53,0,0,0,0
22,7,0.759,38.45,10.54,0,0,0,0.26
13,14,0.481,23.43,10.56,0,0,0,0
9,19,0.321,25.07,10.56,0,0,0,0
9,19,0.321,26.53,10.57,0,0,0,0
14,11,0.56,22.28,10.59,0,0,0,0
8,19,0.296,23.91,10.59,0,0,0,0
19,10,0.655,30.92,10.61,0,0,0,0
4,17,0.19,15.17,10.62,0,0,0,0
14,11,0.56,36.13,10.62,0,0,0,0
11,17,0.393,27.9,10.63,0,0,0,0
16,12,0.571,32.25,10.63,0,0,0,0
9,11,0.45,30.67,10.65,0,0,0,0
11,18,0.379,23.84,10.67,0,0,0,0
8,16,0.333,21.09,10.68,0,0,0,0
12,16,0.429,31.62,10.68,0,0,0,0
5,19,0.208,19.77,10.69,0,0,0,0
17,11,0.607,36.22,10.71,0,0,0,0
18,11,0.621,34.32,10.73,0,0,0,0
9,18,0.333,29.37,10.74,0,0,0,0
14,17,0.452,24.42,10.76,0,0,0,0
12,13,0.48,25.44,10.78,0,0,0,0
13,11,0.542,37.33,10.78,0,0,0,0
13,17,0.433,28.14,10.79,0,0,0,0
6,17,0.261,24.45,10.8,0,0,0,0
15,15,0.5,29.02,10.8,0,0,0,0
11,16,0.407,24.84,10.81,0,0,0,0
19,10,0.655,36.96,10.81,0,0,0,0
19,7,0.731,41.63,10.81,0,0,0,0
17,10,0.63,43.51,10.82,0,0,0,0
7,20,0.259,21.08,10.83,0,0,0,0
15,13,0.536,32.3,10.83,0,0,0,0
7,13,0.35,19.89,10.84,0,0,0,0
20,9,0.69,35.94,10.84,0,0,0,0
17,12,0.586,35.47,10.85,0,0,0,0
8,20,0.286,25.18,10.86,0,0,0,0
10,18,0.357,26.75,10.86,0,0,0,0
13,11,0.542,28.41,10.86,0,0,0,0
19,10,0.655,34.11,10.86,0,0,0,0
7,18,0.28,29.79,10.87,0,0,0,0
6,16,0.273,30.51,10.87,0,0,0,0
17,11,0.607,33.01,10.87,0,0,0,0
9,19,0.321,21.14,10.88,0,0,0,0
5,17,0.227,23.07,10.9,0,0,0,0
16,17,0.485,27.05,10.9,0,0,0,0
23,8,0.742,38.41,10.9,0,0,0,0.26
10,17,0.37,25.94,10.91,0,0,0,0
9,19,0.321,28.01,10.91,0,0,0,0
14,11,0.56,36.94,10.91,0,0,0,0
10,20,0.333,26.11,10.92,0,0,0,0
11,12,0.478,30.32,10.92,0,0,0,0
12,16,0.429,30.02,10.93,0,0,0,0
7,23,0.233,23.46,10.94,0,0,0,0
11,17,0.393,23.66,10.94,0,0,0,0
17,7,0.708,36.74,10.95,0,0,0,0
8,23,0.258,26.37,10.96,0,0,0,0
12,11,0.522,27.52,10.97,0,0,0,0
11,13,0.458,28.47,10.98,0,0,0,0
7,24,0.226,20.89,10.99,0,0,0,0
16,12,0.571,34.27,10.99,0,0,0,0
14,12,0.538,29.39,11,0,0,0,0
10,15,0.4,30.18,11,0,0,0,0
13,14,0.481,29.16,11.01,0,0,0,0
16,12,0.571,33.68,11.02,0,0,0,0
3,25,0.107,10.92,11.03,0,0,0,0
15,10,0.6,31.85,11.04,0,0,0,0
19,10,0.655,34.92,11.04,0,0,0,0
12,17,0.414,27.08,11.05,0,0,0,0
15,18,0.455,29.81,11.06,0,0,0,0
14,16,0.467,30.93,11.06,0,0,0,0
19,13,0.594,31.17,11.06,0,0,0,0
9,18,0.333,27.84,11.07,0,0,0,0
17,8,0.68,36.34,11.07,0,0,0,0
8,13,0.381,16.24,11.08,0,0,0,0
10,17,0.37,25.45,11.08,0,0,0,0
16,12,0.571,31.27,11.08,0,0,0,0
17,16,0.515,32.89,11.08,0,0,0,0
9,15,0.375,24.35,11.09,0,0,0,0
9,18,0.333,25.23,11.09,0,0,0,0
10,17,0.37,28.16,11.09,0,0,0,0
17,8,0.68,26.9,11.1,0,0,0,0
15,11,0.577,36.11,11.1,0,0,0,0
17,14,0.548,27.84,11.11,0,0,0,0
17,11,0.607,32.95,11.13,0,0,0,0
18,12,0.6,33.03,11.13,0,0,0,0
11,13,0.458,34.33,11.13,0,0,0,0
21,9,0.7,35.25,11.13,0,0,0,0.26
7,22,0.241,20.42,11.15,0,0,0,0
15,13,0.536,32,11.16,0,0,0,0
16,13,0.552,32.04,11.16,0,0,0,0
26,3,0.897,46.84,11.17,0,0,0,0.26
11,17,0.393,29.19,11.18,0,0,0,0
12,14,0.462,27.16,11.19,0,0,0,0
13,12,0.52,33.43,11.19,0,0,0,0
6,22,0.214,26.29,11.2,0,0,0,0
22,8,0.733,38.29,11.2,0,0,0,0
10,17,0.37,22.97,11.21,0,0,0,0
5,23,0.179,24.18,11.21,0,0,0,0
12,16,0.429,26.06,11.21,0,0,0,0
4,19,0.174,19.44,11.22,0,0,0,0
14,18,0.438,28.91,11.22,0,0,0,0
15,13,0.536,29.65,11.22,0,0,0,0
13,15,0.464,24.2,11.23,0,0,0,0
20,6,0.769,34.4,11.23,0,0,0,0
7,17,0.292,16.57,11.25,0,0,0,0
6,20,0.231,25.28,11.25,0,0,0,0
18,13,0.581,34.44,11.25,0,0,0,0.26
11,14,0.44,28.36,11.26,0,0,0,0
22,10,0.688,37.88,11.26,0,0,0,0.26
15,12,0.556,30.63,11.28,0,0,0,0
11,19,0.367,27.96,11.3,0,0,0,0
14,14,0.5,31.57,11.3,0,0,0,0
17,12,0.586,33.05,11.31,0,0,0,0
14,13,0.519,36.16,11.31,0,0,0,0
5,23,0.179,19.51,11.32,0,0,0,0
7,20,0.259,21.95,11.32,0,0,0,0
13,17,0.433,27.57,11.32,0,0,0,0
8,20,0.286,23.95,11.33,0,0,0,0
14,14,0.5,32.16,11.33,0,0,0,0
16,13,0.552,34.2,11.33,0,0,0,0
19,14,0.576,36.99,11.33,0,0,0,0
18,11,0.621,35.85,11.34,0,0,0,0
3,24,0.111,11.21,11.35,0,0,0,0
6,22,0.214,19.66,11.35,0,0,0,0
10,19,0.345,26.26,11.35,0,0,0,0
9,13,0.409,23.54,11.36,0,0,0,0
17,7,0.708,42.71,11.36,0,0,0,0
21,6,0.778,45.38,11.36,0,0,0,0
12,17,0.414,30.68,11.37,0,0,0,0
18,11,0.621,36.51,11.38,0,0,0,0
15,11,0.577,38.76,11.39,0,0,0,0
10,20,0.333,20.02,11.4,0,0,0,0
8,19,0.296,20.19,11.4,0,0,0,0
22,8,0.733,40.28,11.4,0,0,0,0.26
18,8,0.692,33.53,11.43,0,0,0,0
21,9,0.7,35.64,11.43,0,0,0,0
18,6,0.75,38.85,11.44,0,0,0,0
16,15,0.516,32.22,11.45,0,0,0,0
7,20,0.259,25.74,11.46,0,0,0,0
12,16,0.429,28.68,11.46,0,0,0,0
10,18,0.357,29.47,11.46,0,0,0,0
10,17,0.37,30.45,11.46,0,0,0,0
13,14,0.481,30.81,11.46,0,0,0,0
8,19,0.296,26.02,11.47,0,0,0,0
16,13,0.552,32.58,11.47,0,0,0,0
4,25,0.138,13.17,11.48,0,0,0,0
10,16,0.385,24.33,11.48,0,0,0,0
13,15,0.464,28.9,11.49,0,0,0,0
4,24,0.143,19.05,11.5,0,0,0,0
5,25,0.167,20.05,11.5,0,0,0,0
14,10,0.583,29.32,11.5,0,0,0,0
13,17,0.433,30.19,11.5,0,0,0,0
17,13,0.567,34.81,11.5,0,0,0,0
9,18,0.333,25.65,11.51,0,0,0,0
13,13,0.5,27.72,11.52,0,0,0,0
14,10,0.583,34.91,11.52,0,0,0,0
2,24,0.077,15.66,11.53,0,0,0,0
8,22,0.267,24.88,11.53,0,0,0,0
19,12,0.613,38.98,11.53,0,0,0,0
7,22,0.241,22.78,11.54,0,0,0,0
14,16,0.467,29.26,11.54,0,0,0,0
14,16,0.467,30.86,11.54,0,0,0,0
8,16,0.333,15.25,11.55,0,0,0,0
11,13,0.458,30.8,11.55,0,0,0,0
15,12,0.556,33.25,11.55,0,0,0,0
10,22,0.313,24.88,11.56,0,0,0,0
12,17,0.414,26.36,11.56,0,0,0,0
14,15,0.483,33.53,11.56,0,0,0,0
11,21,0.344,28.04,11.57,0,0,0,0
14,13,0.519,30.47,11.57,0,0,0,0
11,10,0.524,25.21,11.58,0,0,0,0
18,16,0.529,30.89,11.59,0,0,0,0
15,9,0.625,34.05,11.59,0,0,0,0
11,17,0.393,24.32,11.6,0,0,0,0
17,15,0.531,33.58,11.6,0,0,0,0
23,3,0.885,49.69,11.6,0,0,0,0.26
13,14,0.481,31.01,11.61,0,0,0,0
10,17,0.37,28.98,11.63,0,0,0,0
15,13,0.536,34.38,11.63,0,0,0,0
18,11,0.621,35.66,11.63,0,0,0,0
20,9,0.69,40.29,11.63,0,0,0,0
9,19,0.321,27.81,11.65,0,0,0,0
19,12,0.613,33.76,11.65,0,0,0,0.26
21,8,0.724,40.27,11.65,0,0,0,0
12,16,0.429,30.06,11.66,0,0,0,0
13,15,0.464,31.06,11.66,0,0,0,0
6,21,0.222,25.31,11.68,0,0,0,0
14,20,0.412,27.87,11.68,0,0,0,0
15,15,0.5,32.03,11.68,0,0,0,0
16,15,0.516,32.91,11.68,0,0,0,0.26
14,12,0.538,26.49,11.71,0,0,0,0
15,17,0.469,28.38,11.71,0,0,0,0
9,18,0.333,27.22,11.74,0,0,0,0
12,16,0.429,30.4,11.74,0,0,0,0
17,14,0.548,31.53,11.74,0,0,0,0.26
13,17,0.433,33.66,11.74,0,0,0,0
15,14,0.517,34.18,11.74,0,0,0,0
13,15,0.464,34.15,11.75,0,0,0,0
8,13,0.381,28.43,11.77,0,0,0,0
15,11,0.577,33.71,11.77,0,0,0,0
8,19,0.296,19.55,11.78,0,0,0,0
16,10,0.615,34.75,11.78,0,0,0,0
8,21,0.276,22.27,11.79,0,0,0,0
20,9,0.69,40.96,11.79,0,0,0,0
12,11,0.522,27.95,11.8,0,0,0,0
19,13,0.594,30.8,11.8,0,0,0,0
18,10,0.643,35.27,11.8,0,0,0,0
16,8,0.667,38.17,11.8,0,0,0,0
18,6,0.75,33.8,11.81,0,0,0,0
21,8,0.724,37.62,11.81,0,0,0,0
7,20,0.259,22.33,11.82,0,0,0,0
18,14,0.563,31.99,11.82,0,0,0,0
8,12,0.4,21.88,11.83,0,0,0,0
7,20,0.259,23.84,11.83,0,0,0,0
10,18,0.357,24.08,11.83,0,0,0,0
4,16,0.2,24.94,11.83,0,0,0,0
8,21,0.276,25.52,11.83,0,0,0,0
18,7,0.72,44.61,11.84,0,0,0,0.26
3,23,0.115,16.15,11.85,0,0,0,0
10,22,0.313,24.44,11.85,0,0,0,0
9,22,0.29,26.21,11.85,0,0,0,0
10,14,0.417,27.71,11.85,0,0,0,0
6,13,0.316,17.66,11.86,0,0,0,0
7,11,0.389,18.96,11.86,0,0,0,0
25,7,0.781,40.34,11.86,0,0,0,0.36
7,21,0.25,23.08,11.87,0,0,0,0
8,19,0.296,26.38,11.87,0,0,0,0
14,13,0.519,29.59,11.88,0,0,0,0
20,10,0.667,36.27,11.88,0,0,0,0
11,15,0.423,27.34,11.9,0,0,0,0
8,16,0.333,29.2,11.9,0,0,0,0
16,12,0.571,33.42,11.9,0,0,0,0
19,9,0.679,43.51,11.91,0,0,0,0
11,16,0.407,27.28,11.92,0,0,0,0
11,16,0.407,28.64,11.92,0,0,0,0
16,13,0.552,34.64,11.92,0,0,0,0
18,5,0.783,37.83,11.93,0,0,0,0
8,23,0.258,24.49,11.94,0,0,0,0
11,17,0.393,31.27,11.94,0,0,0,0
9,17,0.346,25.82,11.95,0,0,0,0
12,12,0.5,33.83,11.95,0,0,0,0
19,11,0.633,36.16,11.95,0,0,0,0
8,15,0.348,22.1,11.96,0,0,0,0
15,9,0.625,33.57,11.96,0,0,0,0
15,15,0.5,30.35,11.97,0,0,0,0
23,7,0.767,41.13,11.98,0,0,0,0.26
15,14,0.517,34.98,11.99,0,0,0,0
10,15,0.4,25.3,12,0,0,0,0
16,11,0.593,35.55,12,0,0,0,0
16,10,0.615,39.2,12,0,0,0,0
18,9,0.667,39.93,12,0,0,0,0
12,21,0.364,25.56,12.01,0,0,0,0
11,21,0.344,28.49,12.01,0,0,0,0
19,12,0.613,34.51,12.01,0,0,0,0.26
10,15,0.4,28.05,12.03,0,0,0,0
15,10,0.6,34.85,12.04,0,0,0,0
6,22,0.214,22.02,12.05,0,0,0,0
10,13,0.435,31.69,12.05,0,0,0,0
8,22,0.267,20.28,12.06,0,0,0,0
14,8,0.636,31.41,12.06,0,0,0,0
19,13,0.594,36.64,12.06,0,0,0,0
19,11,0.633,36.43,12.07,0,0,0,0
17,9,0.654,36.62,12.07,0,0,0,0
8,13,0.381,25.77,12.08,0,0,0,0
8,10,0.444,29.48,12.08,0,0,0,0
17,16,0.515,31.82,12.08,0,0,0,0.26
16,14,0.533,32.56,12.08,0,0,0,0
14,12,0.538,32.95,12.08,0,0,0,0
10,18,0.357,24.1,12.09,0,0,0,0
10,19,0.345,26.2,12.09,0,0,0,0
7,22,0.241,27.91,12.09,0,0,0,0
23,7,0.767,39.89,12.09,0,0,0,0.26
12,11,0.522,21.83,12.1,0,0,0,0
9,18,0.333,23.18,12.11,0,0,0,0
7,23,0.233,25.66,12.11,0,0,0,0
10,12,0.455,27.3,12.11,0,0,0,0
14,15,0.483,30.1,12.11,0,0,0,0
14,10,0.583,34.41,12.11,0,0,0,0
9,19,0.321,27.13,12.12,0,0,0,0
13,10,0.565,30.29,12.12,0,0,0,0
14,13,0.519,34.5,12.12,0,0,0,0
19,7,0.731,37.38,12.12,0,0,0,0
3,17,0.15,12.21,12.13,0,0,0,0
12,17,0.414,31.76,12.13,0,0,0,0
9,19,0.321,25.37,12.14,0,0,0,0
13,14,0.481,28.25,12.14,0,0,0,0
17,18,0.486,30.64,12.15,0,0,0,0.26
23,10,0.697,41.4,12.15,0,0,0,0.36
15,14,0.517,32.31,12.16,0,0,0,0
17,12,0.586,33.43,12.16,0,0,0,0
16,14,0.533,34.99,12.16,0,0,0,0
14,18,0.438,27.14,12.17,0,0,0,0
10,20,0.333,32.65,12.17,0,0,0,0
21,8,0.724,41.59,12.17,0,0,0,0
4,25,0.138,24.45,12.18,0,0,0,0
11,17,0.393,27.23,12.18,0,0,0,0
20,11,0.645,38.47,12.18,0,0,0,0.26
15,9,0.625,37.12,12.19,0,0,0,0
6,25,0.194,18.46,12.2,0,0,0,0
14,12,0.538,33.25,12.2,0,0,0,0
21,6,0.778,43.18,12.22,0,0,0,0
16,11,0.593,36.94,12.23,0,0,0,0
22,8,0.733,38.33,12.23,0,0,0,0.26
6,22,0.214,21.22,12.24,0,0,0,0
6,22,0.214,27.33,12.24,0,0,0,0
12,16,0.429,30.52,12.25,0,0,0,0
9,14,0.391,24.09,12.26,0,0,0,0
7,17,0.292,15.16,12.28,0,0,0,0
8,18,0.308,24.13,12.28,0,0,0,0
15,9,0.625,31.26,12.28,0,0,0,0
14,14,0.5,35.22,12.28,0,0,0,0
11,17,0.393,28.47,12.29,0,0,0,0
15,11,0.577,32.74,12.29,0,0,0,0
7,22,0.241,23.56,12.3,0,0,0,0
12,15,0.444,30.28,12.31,0,0,0,0
11,16,0.407,30.78,12.31,0,0,0,0
20,11,0.645,34.81,12.32,0,0,0,0.26
18,11,0.621,37.19,12.32,0,0,0,0
28,7,0.8,43.23,12.32,0,0,0,0
12,10,0.545,35.09,12.33,0,0,0,0
13,11,0.542,35.16,12.33,0,0,0,0
16,7,0.696,37.73,12.33,0,0,0,0
9,19,0.321,25.1,12.34,0,0,0,0
17,12,0.586,31.63,12.34,0,0,0,0
12,12,0.5,35.08,12.35,0,0,0,0
26,7,0.788,41.34,12.35,0,0,0,0.26
6,23,0.207,20.94,12.36,0,0,0,0
8,21,0.276,23.15,12.36,0,0,0,0
15,19,0.441,28.4,12.36,0,0,0,0
15,17,0.469,32.33,12.37,0,0,0,0
1,26,0.037,14.12,12.38,0,0,0,0
19,15,0.559,35.6,12.39,0,0,0,0.26
7,20,0.259,21.77,12.4,0,0,0,0
12,10,0.545,33.81,12.4,0,0,0,0
12,13,0.48,36.77,12.4,0,0,0,0
24,7,0.774,40.95,12.4,0,0,0,0
11,17,0.393,22.46,12.41,0,0,0,0
9,18,0.333,21.57,12.42,0,0,0,0
10,21,0.323,26.29,12.42,0,0,0,0
6,23,0.207,26.7,12.42,0,0,0,0
10,18,0.357,27.36,12.42,0,0,0,0
14,11,0.56,34.97,12.42,0,0,0,0
2,26,0.071,10.91,12.43,0,0,0,0
7,18,0.28,24.11,12.43,0,0,0,0
13,15,0.464,30.56,12.43,0,0,0,0
13,13,0.5,33.19,12.43,0,0,0,0
16,13,0.552,36.6,12.43,0,0,0,0
10,17,0.37,28.92,12.45,0,0,0,0
20,8,0.714,38.29,12.45,0,0,0,0
21,9,0.7,42.16,12.45,0,0,0,0
12,16,0.429,28.74,12.46,0,0,0,0
19,7,0.731,33.24,12.46,0,0,0,0
14,15,0.483,33.68,12.46,0,0,0,0
18,12,0.6,36.51,12.46,0,0,0,0
8,20,0.286,23.31,12.47,0,0,0,0
5,21,0.192,25.15,12.47,0,0,0,0
20,9,0.69,39.92,12.47,0,0,0,0
18,7,0.72,43.66,12.48,0,0,0,0
6,21,0.222,23.68,12.49,0,0,0,0
12,19,0.387,28.22,12.5,0,0,0,0
23,7,0.767,43.28,12.5,0,0.667,0.367,0
6,26,0.188,23.26,12.51,0,0,0,0
14,14,0.5,34.81,12.51,0,0,0,0
17,11,0.607,37.95,12.51,0,0,0,0
25,8,0.758,39.46,12.51,0,0,0,0.26
8,19,0.296,26.03,12.52,0,0,0,0
11,18,0.379,27.92,12.52,0,0,0,0
15,15,0.5,28,12.52,0,0,0,0
12,10,0.545,29.5,12.52,0,0,0,0
21,14,0.6,31.73,12.52,0,0,0,0.26
17,13,0.567,40.72,12.52,0,0,0,0
8,19,0.296,29.05,12.53,0,0,0,0
14,8,0.636,33.68,12.53,0,0,0,0
17,13,0.567,34.94,12.53,0,0,0,0
9,19,0.321,24.24,12.54,0,0,0,0
17,10,0.63,36.69,12.54,0,0,0,0
10,18,0.357,25.95,12.55,0,0,0,0
13,17,0.433,31.44,12.55,0,0,0,0
15,14,0.517,32.48,12.55,0,0,0,0
13,11,0.542,35.05,12.55,0,0,0,0
15,5,0.75,35.99,12.55,0,0,0,0
8,20,0.286,16.87,12.57,0,0,0,0
8,12,0.4,28.32,12.57,0,0,0,0
15,11,0.577,36.6,12.57,0,0,0,0
4,16,0.2,16.38,12.58,0,0,0,0
5,23,0.179,19.27,12.58,0,0,0,0
7,20,0.259,20.93,12.58,0,0,0,0
9,23,0.281,24.32,12.58,0,0,0,0
13,13,0.5,34.43,12.58,0,0,0,0
6,22,0.214,28.47,12.59,0,0,0,0
15,13,0.536,29.18,12.59,0,0,0,0
17,8,0.68,37.2,12.6,0,0,0,0
16,13,0.552,38.15,12.6,0,0,0,0
18,8,0.692,42.53,12.6,0,0,0,0
10,12,0.455,27.76,12.61,0,0,0,0
14,16,0.467,31.3,12.61,0,0,0,0
13,15,0.464,32.03,12.61,0,0,0,0
14,12,0.538,34.12,12.62,0,0,0,0
15,12,0.556,35.91,12.62,0,0,0,0
5,23,0.179,23.52,12.63,0,0,0,0
8,14,0.364,26.82,12.63,0,0,0,0
