w,l,wl,srs_adj,sos_adj,pts_for,pts_vs,pts_total,ap_pre_adj,ap_high_adj,ap_final_adj,pts_diff_adj,ncaa_adj
27,7,0.794,54.82,24.14,76.4,67.2,143.6,0.733,0.967,0.9,35.9,0.32
23,11,0.676,50.62,20.94,80.8,71.6,152.4,0.533,0.733,0,35.9,0.32
25,11,0.694,52.05,21.9,70.8,61.6,132.4,0.5,0.733,0,35.9,0.32
27,8,0.771,52.78,22.11,75.9,66.7,142.6,0.233,0.867,0.767,35.9,0.32
28,6,0.824,42.8,12.48,67,57.8,124.8,0,0,0,35.9,0.32
25,10,0.714,52.78,22.02,74.6,65.3,139.9,1,1,0.367,36,0.32
27,7,0.794,48.79,18.01,69.1,59.8,128.9,0.3,0.433,0.433,36,0.32
24,10,0.706,34.83,8.26,71.7,62.4,134.1,0,0,0,36,0.32
24,10,0.706,38.91,11.72,80.7,71.4,152.1,0,0,0,36,0.32
28,7,0.8,45.35,14.64,75,65.7,140.7,0,0,0,36,0.32
23,11,0.676,51.26,20.44,76.1,66.7,142.8,0.533,0.8,0,36.1,0.32
25,6,0.806,47.39,18.15,83.7,74.3,158,0,0.267,0,36.1,0.32
24,10,0.706,50.84,19.96,72.4,63,135.4,0,0.333,0,36.1,0.32
25,8,0.758,52.22,21.45,72.5,63.1,135.6,0,0.767,0.5,36.1,0.32
25,8,0.758,52,21.47,79,69.6,148.6,0,0.567,0.533,36.1,0.32
25,10,0.714,51.45,20.56,81.7,72.2,153.9,0.333,0.667,0.667,36.2,0.32
27,7,0.794,47.96,18.27,76.9,67.4,144.3,0,0.6,0.3,36.2,0.32
25,11,0.694,49.68,18.79,77.3,67.8,145.1,0,0,0,36.2,0.32
23,8,0.742,50.3,19.37,72.9,63.4,136.3,0,0.367,0.367,36.2,0.32
25,11,0.694,51.74,20.72,73.1,63.5,136.6,0.367,0.433,0,36.3,0.32
26,5,0.839,49.15,18.81,79.2,69.6,148.8,0.2,0.7,0.7,36.3,0.32
27,9,0.75,47.24,16.22,67.1,57.5,124.6,0,0,0,36.3,0.32
24,8,0.75,47.82,17.63,79,69.4,148.4,0,0.233,0,36.3,0.32
25,10,0.714,53.69,22.56,69.5,59.8,129.3,0.667,0.933,0.3,36.4,0.32
25,7,0.781,43.65,12.49,71.8,62.1,133.9,0,0,0,36.4,0.32
22,7,0.759,50.14,19.07,78.9,69.2,148.1,0,0.2,0,36.4,0.32
24,8,0.75,50.74,19.52,75.7,65.9,141.6,0.667,0.767,0.433,36.5,0.32
26,9,0.743,50.4,19.22,75,65.2,140.2,0.567,0.7,0.233,36.5,0.32
26,10,0.722,44.58,14.52,78.1,68.3,146.4,0,0,0,36.5,0.32
25,9,0.735,45.37,15.31,73.8,64,137.8,0,0,0,36.5,0.32
25,9,0.735,48.96,17.79,73,63.2,136.2,0,0,0,36.5,0.32
26,6,0.813,49.75,18.53,72.4,62.6,135,0,0.3,0.3,36.5,0.32
29,5,0.853,46.43,15.53,77.4,67.5,144.9,0.233,0.7,0.533,36.6,0.32
26,10,0.722,42.01,11.86,77,67.1,144.1,0,0,0,36.6,0.32
24,9,0.727,52.01,20.22,82.3,72.4,154.7,0,0.633,0.467,36.6,0.32
20,13,0.606,50.68,22.61,77,67.1,144.1,0,0,0,36.6,0.32
26,5,0.839,43.69,12.88,65.6,55.6,121.2,0,0.3,0,36.7,0.32
27,7,0.794,51.11,19.72,68.4,58.4,126.8,0,0.8,0.533,36.7,0.32
25,6,0.806,52.81,21.4,77.8,67.8,145.6,0,0.767,0.767,36.7,0.32
23,10,0.697,33.24,4.13,67.4,57.3,124.7,0,0,0,36.8,0.32
25,8,0.758,43.11,12.76,77.9,67.8,145.7,0,0,0,36.8,0.32
26,6,0.813,51.93,20.34,73.8,63.7,137.5,0,0.833,0.833,36.8,0.32
28,6,0.824,54.43,22.87,80.5,70.4,150.9,0,0.867,0.733,36.8,0.32
22,10,0.688,55.58,24.04,75.8,65.6,141.4,0.5,0.533,0.333,36.9,0.32
28,6,0.824,42.14,12.44,69.6,59.4,129,0,0,0,36.9,0.32
24,9,0.727,53.69,22.1,67.1,56.9,124,0,0.667,0.5,36.9,0.32
25,9,0.735,54.64,24.08,77.4,67.2,144.6,0,0.633,0.633,36.9,0.32
