w,l,wl,srs_adj,sos_adj,pts_for,pts_vs,pts_total,ap_pre_adj,ap_high_adj,ap_final_adj,pts_diff_adj,ncaa_adj
23,10,0.697,49.9,20.55,81.5,73.5,155,0.667,0.867,0,34.7,0.231
21,12,0.636,50.52,22.27,72.3,64.3,136.6,0.367,0.433,0,34.7,0.231
24,7,0.774,40.73,12.26,73.6,65.6,139.2,0,0,0,34.7,0.231
23,11,0.676,39.06,12.57,78.1,70.1,148.2,0,0,0,34.7,0.231
20,9,0.69,42.09,14.86,77,69,146,0,0,0,34.7,0.231
25,5,0.833,46.55,17.08,71,63,134,0,0.533,0,34.7,0.231
23,7,0.767,49.08,19.71,74.4,66.4,140.8,0,0.5,0.4,34.7,0.231
24,9,0.727,51.09,22.3,76.9,68.9,145.8,0,0.6,0.333,34.7,0.231
22,10,0.688,52.34,22.75,77.9,69.8,147.7,0.367,0.433,0.433,34.8,0.231
29,6,0.829,48.29,18.71,64.9,56.8,121.7,0,0.633,0.633,34.8,0.231
27,5,0.844,34.75,5.15,71.3,63.1,134.4,0,0,0,34.9,0.231
21,11,0.656,45.96,16.43,71.6,63.4,135,0,0,0,34.9,0.231
21,14,0.6,51.49,21.76,72.4,64.1,136.5,0.2,0.3,0,35,0.231
29,6,0.829,39.09,10.98,75.8,67.5,143.3,0,0,0,35,0.231
22,10,0.688,39.78,12.09,69.6,61.3,130.9,0,0,0,35,0.231
23,9,0.719,49.48,19.73,71.8,63.5,135.3,0,0,0,35,0.231
22,11,0.667,54.7,24.93,70.4,62,132.4,0.633,0.867,0,35.1,0.231
20,11,0.645,51.34,22,76.9,68.5,145.4,0.5,0.7,0,35.1,0.231
21,9,0.7,34.81,7.03,73.1,64.7,137.8,0,0,0,35.1,0.231
20,9,0.69,41.86,12.13,68.5,60.1,128.6,0,0,0,35.1,0.231
24,10,0.706,43.55,13.79,71.8,63.4,135.2,0,0,0,35.1,0.231
25,8,0.758,44.75,15.01,68.2,59.8,128,0,0,0,35.1,0.231
21,9,0.7,44.85,15.07,73.4,65,138.4,0,0,0,35.1,0.231
23,7,0.767,43.12,17.21,71.9,63.5,135.4,0,0,0,35.1,0.231
23,11,0.676,48,18.21,78.5,70.1,148.6,0,0.5,0,35.1,0.231
21,11,0.656,53.59,23.74,75.2,66.8,142,0,0.867,0.3,35.1,0.231
26,7,0.788,35.45,5.54,79.5,71,150.5,0,0,0,35.2,0.231
22,6,0.786,45.05,15.11,74.6,66.1,140.7,0,0,0,35.2,0.231
24,6,0.8,46.66,16.72,74.2,65.7,139.9,0,0,0,35.2,0.231
25,9,0.735,47.19,18.65,70.3,61.8,132.1,0,0,0,35.2,0.231
22,12,0.647,51.02,22.67,73.1,64.6,137.7,0,0,0,35.2,0.231
20,10,0.667,51.15,21.07,87.1,78.5,165.6,0.9,0.933,0.3,35.3,0.231
27,6,0.818,36.33,7.79,68,59.4,127.4,0,0,0,35.3,0.231
25,6,0.806,37.71,8.57,70.4,61.8,132.2,0,0,0,35.3,0.231
23,7,0.767,38.75,9.06,83.7,75.1,158.8,0,0,0,35.3,0.231
20,11,0.645,37.74,11.4,77.5,68.9,146.4,0,0,0,35.3,0.231
27,6,0.818,45.66,15.59,71.7,63.1,134.8,0,0.2,0.2,35.3,0.231
20,9,0.69,48.25,18.33,71.8,63.2,135,0,0.3,0,35.3,0.231
20,9,0.69,50.38,20.17,72.3,63.5,135.8,0.467,0.7,0,35.5,0.231
23,9,0.719,40.25,10.8,72.7,63.9,136.6,0,0,0,35.5,0.231
24,7,0.774,45.49,16.01,74.4,65.6,140,0,0.233,0.2,35.5,0.231
22,10,0.688,50.86,20.61,73.7,64.9,138.6,0,0,0,35.5,0.231
24,9,0.727,51.39,21.2,77.5,68.7,146.2,0,0.6,0.5,35.5,0.231
21,11,0.656,51.56,22.34,73.4,64.5,137.9,0.233,0.467,0,35.6,0.231
23,7,0.767,32.97,3.96,75.8,66.9,142.7,0,0,0,35.6,0.231
21,10,0.677,38.56,10.43,73.6,64.7,138.3,0,0,0,35.6,0.231
25,4,0.862,43.9,13.56,64.8,55.9,120.7,0,0.3,0,35.6,0.231
20,10,0.667,40.22,10.84,75,66,141,0,0,0,35.7,0.231
23,10,0.697,43.47,14.28,69.7,60.7,130.4,0,0,0,35.7,0.231
22,7,0.759,44.97,14.52,59.9,50.9,110.8,0,0.2,0,35.7,0.231
19,11,0.633,49.81,19.47,74.3,65.3,139.6,0,0,0,35.7,0.231
21,12,0.636,51.71,22.08,72.3,63.2,135.5,0.367,0.633,0,35.8,0.231
27,6,0.818,46.01,16.7,72.8,63.7,136.5,0.3,0.467,0.367,35.8,0.231
26,9,0.743,36.03,9.31,76.1,67,143.1,0,0,0,35.8,0.231
24,9,0.727,41.49,11.38,81.8,72.7,154.5,0,0,0,35.8,0.231
25,9,0.735,47.23,18.39,78.1,69,147.1,0,0.333,0.233,35.8,0.231
20,12,0.625,53.02,23.8,78.6,69.4,148,0.267,0.4,0,35.9,0.231
24,10,0.706,49.64,18.97,71.1,61.9,133,0.233,0.367,0,35.9,0.231
22,7,0.759,30.29,2.52,85.7,76.5,162.2,0,0,0,35.9,0.231
26,6,0.813,38.71,9.64,79.9,70.7,150.6,0,0,0,35.9,0.231
28,6,0.824,44.68,16.33,70.5,61.2,131.7,0,0,0,36,0.231
25,9,0.735,48.42,19.26,73.1,63.8,136.9,0,0.433,0,36,0.231
21,11,0.656,51.93,21.27,72.7,63.4,136.1,0,0.333,0,36,0.231
20,9,0.69,55.28,24.66,77.7,68.4,146.1,0,0.733,0.3,36,0.231
24,7,0.774,36.27,6.37,73.5,64.1,137.6,0,0,0,36.1,0.231
24,8,0.75,48.25,17.44,72.7,63.3,136,0,0,0,36.1,0.231
24,10,0.706,53.9,23.52,79.2,69.8,149,0,0.533,0.3,36.1,0.231
25,6,0.806,37.49,6.56,77.2,67.7,144.9,0,0,0,36.2,0.231
23,9,0.719,38.34,10.69,79.1,69.6,148.7,0,0,0,36.2,0.231
24,8,0.75,36.95,11.23,65.6,56.1,121.7,0,0,0,36.2,0.231
25,7,0.781,43.81,12.93,73.2,63.7,136.9,0,0,0,36.2,0.231
22,8,0.733,46.47,15.49,76.9,67.4,144.3,0,0.4,0,36.2,0.231
24,7,0.774,46.05,16.93,64.2,54.7,118.9,0,0,0,36.2,0.231
23,7,0.767,39.88,9.93,66.2,56.6,122.8,0,0,0,36.3,0.231
27,7,0.794,44.33,13.27,75.1,65.5,140.6,0,0,0,36.3,0.231
27,8,0.771,45.46,15.35,74.7,65.1,139.8,0,0,0,36.3,0.231
25,8,0.758,51.63,20.52,75,65.3,140.3,0.733,0.8,0,36.4,0.231
21,10,0.677,53.5,22.44,69.4,59.7,129.1,0.633,0.8,0.367,36.4,0.231
26,7,0.788,43.61,13.23,75.1,65.4,140.5,0,0,0,36.4,0.231
23,7,0.767,56.53,25.29,75,65.2,140.2,1,1,0.633,36.5,0.231
24,7,0.774,40.01,9.37,71.1,61.3,132.4,0,0,0,36.5,0.231
24,7,0.774,39.56,9.46,76,66.1,142.1,0,0,0,36.6,0.231
27,6,0.818,40.04,11.29,79.3,69.4,148.7,0,0,0,36.6,0.231
22,6,0.786,44.29,12.99,69.9,60,129.9,0,0,0,36.6,0.231
26,6,0.813,45.92,16.51,67.8,57.9,125.7,0,0.667,0.3,36.6,0.231
19,11,0.633,56.38,24.94,76.5,66.5,143,0.367,0.9,0.267,36.7,0.231
25,6,0.806,36.27,4.89,73.6,63.6,137.2,0,0,0,36.7,0.231
24,8,0.75,47.27,17.99,77.5,67.5,145,0,0,0,36.7,0.231
22,11,0.667,51.04,19.69,73.3,63.3,136.6,0,0.467,0,36.7,0.231
21,10,0.677,49.59,19.88,76.1,66.1,142.2,0,0.2,0,36.7,0.231
26,7,0.788,51.39,19.92,74.4,64.3,138.7,0.3,0.6,0.6,36.8,0.231
25,8,0.758,39.56,11.07,79.3,69.2,148.5,0,0,0,36.8,0.231
20,10,0.667,52.35,20.84,80.7,70.6,151.3,0,0,0,36.8,0.231
20,9,0.69,54.78,23.16,85,74.8,159.8,0.233,0.833,0.5,36.9,0.231
22,9,0.71,49.29,17.62,68,57.8,125.8,0.2,0.233,0,36.9,0.231
24,6,0.8,36.02,5.28,72.9,62.7,135.6,0,0,0,36.9,0.231
21,11,0.656,39.05,8.64,72.6,62.4,135,0,0,0,36.9,0.231
25,8,0.758,44.21,12.62,82.9,72.7,155.6,0,0,0,36.9,0.231
25,9,0.735,45.86,15.82,70.3,60.1,130.4,0,0.2,0,36.9,0.231
23,12,0.657,54.42,22.78,72,61.8,133.8,0,0.2,0,36.9,0.231
27,7,0.794,51.8,21.27,74.9,64.6,139.5,0.833,0.933,0.667,37,0.231
24,7,0.774,51.48,21.8,81,70.7,151.7,0.333,1,0.633,37,0.231
24,8,0.75,42.78,12.87,74.3,64,138.3,0,0,0,37,0.231
23,9,0.719,51.41,21.03,78.3,68,146.3,0,0.7,0.233,37,0.231
21,6,0.778,42.35,10.53,71.1,60.7,131.8,0,0,0,37.1,0.231
28,6,0.824,41.82,11.85,71.5,61.1,132.6,0,0,0,37.1,0.231
30,5,0.857,45.18,14.51,72.4,62,134.4,0,0.333,0,37.1,0.231
20,11,0.645,52.46,20.6,79.9,69.4,149.3,0.533,0.533,0,37.2,0.231
21,7,0.75,43.41,11.5,65,54.5,119.5,0,0,0,37.2,0.231
27,8,0.771,47.67,15.77,73.7,63.2,136.9,0,0.367,0,37.2,0.231
25,10,0.714,49.38,19.46,83.7,73.2,156.9,0,0,0,37.2,0.231
26,5,0.839,40.96,8.97,72.8,62.2,135,0,0,0,37.3,0.231
24,8,0.75,52.59,21.25,75.8,65.1,140.9,0.433,0.667,0.333,37.4,0.231
26,7,0.788,48.51,16.4,75.3,64.6,139.9,0,0.233,0,37.4,0.231
21,7,0.75,52.93,20.77,74.8,64.1,138.9,0,0.733,0.433,37.4,0.231
25,6,0.806,51.75,19.31,79.1,68.2,147.3,0.2,0.833,0.7,37.6,0.231
21,9,0.7,43.33,11.99,80.8,69.9,150.7,0,0,0,37.6,0.231
27,6,0.818,44.41,12.37,80.4,69.5,149.9,0,0,0,37.6,0.231
23,7,0.767,50.46,18.15,70.4,59.5,129.9,0,0.2,0,37.6,0.231
24,10,0.706,54.41,21.82,81.2,70,151.2,0.933,1,0,37.9,0.231
24,7,0.774,41.08,8.41,74.4,63.2,137.6,0,0,0,37.9,0.231
26,7,0.788,46.94,15.95,75.5,64.3,139.8,0,0,0,37.9,0.231
20,13,0.606,54.43,21.87,81.5,70.3,151.8,0,0.7,0,37.9,0.231
24,7,0.774,44.37,11.64,71.4,60.1,131.5,0,0,0,38,0.231
27,6,0.818,42.65,9.73,78.5,67.1,145.6,0,0,0,38.1,0.231
28,6,0.824,43.07,11.24,80.3,68.9,149.2,0,0,0,38.1,0.231
24,4,0.857,43.03,11.43,64.8,53.4,118.2,0,0,0,38.1,0.231
22,8,0.733,48.77,15.96,76.4,65,141.4,0,0.2,0,38.1,0.231
25,9,0.735,54.64,21.67,80.4,68.9,149.3,0.633,0.8,0.467,38.2,0.231
26,7,0.788,42.03,11.72,80.6,69.1,149.7,0,0,0,38.2,0.231
26,5,0.839,41.11,9.06,70.3,58.7,129,0,0,0,38.3,0.231
25,8,0.758,45.23,13.2,77.7,66.1,143.8,0,0,0,38.3,0.231
20,10,0.667,54.45,21.41,73.2,61.5,134.7,0.5,0.9,0,38.4,0.231
28,5,0.848,49.93,18.59,73.9,62.1,136,0,0.567,0.567,38.5,0.231
26,9,0.743,57.46,24.22,78.5,66.7,145.2,0,0.833,0.767,38.5,0.231
25,8,0.758,50.97,18.59,77.1,65.2,142.3,0,0.2,0,38.6,0.231
25,7,0.781,47.24,14.8,75.7,63.7,139.4,0,0.333,0,38.7,0.231
23,8,0.742,42.13,9.51,73.4,61.2,134.6,0,0,0,38.9,0.231
23,8,0.742,48.08,14.45,68,55.7,123.7,0,0,0,39,0.231
22,7,0.759,53.07,21.51,80.5,68.1,148.6,0.267,0.7,0.6,39.1,0.231
26,5,0.839,48.16,14.33,78.5,66.1,144.6,0,0,0,39.1,0.231
26,7,0.788,53.01,19.21,73.1,60.7,133.8,0,0.733,0.633,39.1,0.231
29,5,0.853,44.16,12.18,81.3,68.7,150,0,0,0,39.3,0.231
28,6,0.824,47.01,12.92,70.7,58.1,128.8,0,0,0,39.3,0.231
25,8,0.758,50.66,16.59,76.5,63.8,140.3,0.567,0.567,0.233,39.4,0.231
26,9,0.743,56.02,21.9,77.9,65.2,143.1,0.267,0.733,0.633,39.4,0.231
21,8,0.724,42.3,9.25,80.2,67.4,147.6,0,0,0,39.5,0.231
24,6,0.8,44.53,12.01,72.9,60,132.9,0,0,0,39.6,0.231
24,8,0.75,52.79,19.41,81,68,149,0,0.467,0.467,39.7,0.231
28,4,0.875,46.31,14.16,77.8,64.7,142.5,0,0.467,0.4,39.8,0.231
27,8,0.771,49.47,15.67,73.1,59.9,133,0,0,0,39.9,0.231
24,7,0.774,44.52,12.79,74.3,60.9,135.2,0,0,0,40.1,0.231
28,3,0.903,41.87,7.85,72.8,59.2,132,0,0.5,0.5,40.3,0.231
22,9,0.71,58.12,22.81,80.5,66.6,147.1,0.833,0.967,0.533,40.6,0.231
25,8,0.758,55.87,22.04,75.2,61.3,136.5,0,0.633,0.633,40.6,0.231
29,5,0.853,51.18,15.47,79.1,64.8,143.9,0,0.7,0.533,41,0.231
24,8,0.75,48.6,12.97,72.3,57.8,130.1,0,0,0,41.2,0.231
29,4,0.879,49.75,15.18,81.1,66.6,147.7,0,0.833,0.833,41.2,0.231
22,8,0.733,55.31,19.2,83.5,68.8,152.3,0.7,0.8,0.267,41.4,0.231
24,6,0.8,40.29,5.42,70.1,55.4,125.5,0,0,0,41.4,0.231
29,6,0.829,58.44,21.38,79.8,64.1,143.9,0.6,1,0.967,42.4,0.231
29,4,0.879,42.67,8.09,86.7,70.7,157.4,0,0.2,0.2,42.7,0.231
27,6,0.818,57.98,16.98,97.2,77.9,175.1,0,0.6,0.533,46,0.231
0,28,0,0,5.27,49.7,76.4,126.1,0,0,0,0,0
2,26,0.071,2.75,4.41,56.5,79.5,136,0,0,0,3.7,0
2,25,0.074,6.79,7.19,74.6,96.4,171,0,0,0,4.9,0
2,25,0.074,10.63,10.84,68,89.7,157.7,0,0,0,5,0
1,29,0.033,10.64,11.59,59.2,80.7,139.9,0,0,0,5.2,0
2,29,0.065,5.49,5.44,60.6,82,142.6,0,0,0,5.3,0
1,25,0.038,15.71,15.53,58.2,79.5,137.7,0,0,0,5.4,0
2,27,0.069,5.18,6.44,52,72.6,124.6,0,0,0,6.1,0
3,24,0.111,14.32,14.03,54.6,75,129.6,0,0,0,6.3,0
6,26,0.188,8.14,9.56,66.5,86.6,153.1,0,0,0,6.6,0
1,25,0.038,22.53,20.89,59.5,79.3,138.8,0,0,0,6.9,0
4,26,0.133,8.6,6.69,54.8,74.4,129.2,0,0,0,7.1,0
1,27,0.036,9.7,7.79,65.2,84.7,149.9,0,0,0,7.2,0
3,25,0.107,10.37,8.35,64.7,84.1,148.8,0,0,0,7.3,0
3,24,0.111,17.37,15.37,72.3,91.7,164,0,0,0,7.3,0
2,28,0.067,12.52,11.18,61.1,80.4,141.5,0,0,0,7.4,0
1,25,0.038,13.45,12.39,58.3,77.6,135.9,0,0,0,7.4,0
1,26,0.037,7.89,6.29,61.3,80.4,141.7,0,0,0,7.6,0
2,27,0.069,17.58,17.56,61.3,80.4,141.7,0,0,0,7.6,0
2,25,0.074,11.45,10.04,59.3,78.3,137.6,0,0,0,7.7,0
1,30,0.032,7.94,5.28,72.6,91,163.6,0,0,0,8.3,0
1,26,0.037,8.5,5.5,60.9,79.2,140.1,0,0,0,8.4,0
2,25,0.074,11.92,10.93,73.2,91.5,164.7,0,0,0,8.4,0
3,23,0.115,15.16,13.49,59.7,78,137.7,0,0,0,8.4,0
2,26,0.071,15.6,14.95,63.1,81.3,144.4,0,0,0,8.5,0
1,31,0.031,19.14,15.98,51.5,69.7,121.2,0,0,0,8.5,0
4,23,0.148,3.92,8.47,82,99.9,181.9,0,0,0,8.8,0
3,23,0.115,17.45,13.77,60.3,78,138.3,0,0,0,9,0
4,24,0.143,9.03,5.05,54,71.5,125.5,0,0,0,9.2,0
2,27,0.069,9.81,5.92,55.4,72.9,128.3,0,0,0,9.2,0
1,26,0.037,11.78,7.81,64.7,82.1,146.8,0,0,0,9.3,0
2,26,0.071,19.43,17.68,62.3,79.7,142,0,0,0,9.3,0
3,28,0.097,15.3,11.18,60.1,77.4,137.5,0,0,0,9.4,0
3,23,0.115,23.43,19.14,59.7,76.7,136.4,0,0,0,9.7,0
4,23,0.148,16.78,12.22,69,85.9,154.9,0,0,0,9.8,0
3,24,0.111,14.69,9.95,68.8,85.5,154.3,0,0,0,10,0
3,25,0.107,11.44,6.6,57.8,74.4,132.2,0,0,0,10.1,0
5,26,0.161,18.91,14.39,61.9,78.5,140.4,0,0,0,10.1,0
3,23,0.115,7.99,3.83,64.3,80.8,145.1,0,0,0,10.2,0
2,25,0.074,10.18,5.29,60.9,77.4,138.3,0,0,0,10.2,0
4,24,0.143,18.42,16.25,72,88.3,160.3,0,0,0,10.4,0
6,26,0.188,11.91,6.66,63.9,80.1,144,0,0,0,10.5,0
5,22,0.185,16.59,11.22,61.9,78.1,140,0,0,0,10.5,0
4,28,0.125,12.1,6.62,58.7,74.8,133.5,0,0,0,10.6,0
2,26,0.071,20.16,14.82,61.4,77.4,138.8,0,0,0,10.7,0
2,27,0.069,15.95,11.25,59,74.9,133.9,0,0,0,10.8,0
2,28,0.067,19.63,16.36,53.7,69.5,123.2,0,0,0,10.9,0
3,28,0.097,21.06,16.24,55.7,71.4,127.1,0,0,0,11,0
5,22,0.185,12.67,6.75,76.1,91.6,167.7,0,0,0,11.2,0
4,26,0.133,10.23,4.97,56.7,72.1,128.8,0,0,0,11.3,0
3,23,0.115,16.64,11.39,65.5,80.9,146.4,0,0,0,11.3,0
2,27,0.069,18.08,12.15,57,72.4,129.4,0,0,0,11.3,0
5,23,0.179,21.85,15.9,67.1,82.5,149.6,0,0,0,11.3,0
2,26,0.071,22.67,16.52,64,79.3,143.3,0,0,0,11.4,0
3,24,0.111,11.86,5.56,60.7,75.9,136.6,0,0,0,11.5,0
4,24,0.143,17.11,10.88,56.8,72,128.8,0,0,0,11.5,0
3,25,0.107,21.71,15.52,61.4,76.6,138,0,0,0,11.5,0
3,25,0.107,13.99,8.93,53.9,69,122.9,0,0,0,11.6,0
8,21,0.276,13.86,12.21,63.9,79,142.9,0,0,0,11.6,0
4,24,0.143,12.83,6.42,65.6,80.6,146.2,0,0,0,11.7,0
5,23,0.179,11.11,4.56,56.9,71.8,128.7,0,0,0,11.8,0
5,24,0.172,20.81,14.98,58.9,73.8,132.7,0,0,0,11.8,0
4,22,0.154,22.34,15.81,71.5,86.4,157.9,0,0,0,11.8,0
4,22,0.154,13.63,12.05,64.8,79.5,144.3,0,0,0,12,0
2,26,0.071,16.24,9.33,54.8,69.3,124.1,0,0,0,12.2,0
3,27,0.1,18.05,11.04,60.4,74.8,135.2,0,0,0,12.3,0
1,29,0.033,18.64,11.59,56.1,70.5,126.6,0,0,0,12.3,0
5,24,0.172,11.24,5.39,65.6,79.9,145.5,0,0,0,12.4,0
5,23,0.179,14.19,9.4,56.3,70.6,126.9,0,0,0,12.4,0
4,26,0.133,16.55,11.31,62.8,77.1,139.9,0,0,0,12.4,0
2,26,0.071,20.25,14.47,64.1,78.4,142.5,0,0,0,12.4,0
3,24,0.111,21.78,16.03,61,75.3,136.3,0,0,0,12.4,0
5,25,0.167,27.31,20.17,62.3,76.6,138.9,0,0,0,12.4,0
2,25,0.074,15.05,7.86,62.3,76.5,138.8,0,0,0,12.5,0
5,25,0.167,17.38,10.17,64.3,78.5,142.8,0,0,0,12.5,0
1,27,0.036,17.59,10.32,59.9,74.1,134,0,0,0,12.5,0
6,25,0.194,26.54,19.93,55.5,69.7,125.2,0,0,0,12.5,0
6,26,0.188,13.39,6.71,56.8,70.9,127.7,0,0,0,12.6,0
6,25,0.194,10.3,4.18,69.5,83.5,153,0,0,0,12.7,0
4,23,0.148,14.66,7.14,64.2,78.1,142.3,0,0,0,12.8,0
4,26,0.133,16,8.42,63.2,77.1,140.3,0,0,0,12.8,0
5,27,0.156,24.94,18.14,56,69.9,125.9,0,0,0,12.8,0
5,21,0.192,25.94,18.46,76.6,90.5,167.1,0,0,0,12.8,0
3,23,0.115,15.19,9.38,56.5,70.2,126.7,0,0,0,13,0
3,24,0.111,19.08,12.6,64.2,77.9,142.1,0,0,0,13,0
5,21,0.192,24.79,16.88,64,77.5,141.5,0,0,0,13.2,0
2,26,0.071,26.37,18.47,64.6,78.1,142.7,0,0,0,13.2,0
7,24,0.226,17.85,9.79,65.6,79,144.6,0,0,0,13.3,0
5,25,0.167,13.83,7.18,63.6,76.9,140.5,0,0,0,13.4,0
5,23,0.179,23.11,15.37,64.4,77.7,142.1,0,0,0,13.4,0
5,24,0.172,10.99,5.25,66.5,79.7,146.2,0,0,0,13.5,0
8,21,0.276,14.05,6.11,63.4,76.6,140,0,0,0,13.5,0
4,25,0.138,13.5,5.2,65.1,78.2,143.3,0,0,0,13.6,0
8,19,0.296,13.5,7.93,59.8,72.9,132.7,0,0,0,13.6,0
3,27,0.1,25.56,17.22,55.9,69,124.9,0,0,0,13.6,0
6,20,0.231,18.32,10.39,68.9,81.9,150.8,0,0,0,13.7,0
4,24,0.143,19.14,10.73,59,72,131,0,0,0,13.7,0
5,25,0.167,30.99,22.58,51.5,64.5,116,0,0,0,13.7,0
4,27,0.129,12.88,5.4,60.6,73.5,134.1,0,0,0,13.8,0
7,24,0.226,19.78,10.65,68.4,81.3,149.7,0,0,0,13.8,0
6,22,0.214,15.95,11.08,58.6,71.5,130.1,0,0,0,13.8,0
4,27,0.129,23.29,15.88,61.5,74.4,135.9,0,0,0,13.8,0
7,20,0.259,25,16.51,75.6,88.5,164.1,0,0,0,13.8,0
6,21,0.222,13.09,6.72,50.5,63.3,113.8,0,0,0,13.9,0
6,20,0.231,13.62,7.63,70.2,83,153.2,0,0,0,13.9,0
4,23,0.148,15.54,9.01,62.2,75,137.2,0,0,0,13.9,0
5,25,0.167,17.56,11.61,68.5,81.3,149.8,0,0,0,13.9,0
5,23,0.179,21.82,13.2,74.1,86.9,161,0,0,0,13.9,0
3,25,0.107,21.92,13.29,65.9,78.7,144.6,0,0,0,13.9,0
5,22,0.185,16.05,7.93,65,77.7,142.7,0,0,0,14,0
1,26,0.037,16.25,8.71,73.4,86.1,159.5,0,0,0,14,0
7,20,0.259,16.44,10.27,59.9,72.6,132.5,0,0,0,14,0
4,24,0.143,19.1,10.3,65.1,77.8,142.9,0,0,0,14,0
3,27,0.1,17.13,10.69,67.8,80.5,148.3,0,0,0,14,0
5,21,0.192,21.08,12.36,61,73.7,134.7,0,0,0,14,0
6,22,0.214,13.06,4.22,67,79.6,146.6,0,0,0,14.1,0
5,24,0.172,14.26,5.47,65,77.6,142.6,0,0,0,14.1,0
5,26,0.161,15.05,8.33,64.5,77.1,141.6,0,0,0,14.1,0
4,23,0.148,21.88,12.99,60,72.6,132.6,0,0,0,14.1,0
4,28,0.125,21.46,13.67,54.2,66.8,121,0,0,0,14.1,0
5,21,0.192,24.28,16.91,68.8,81.4,150.2,0,0,0,14.1,0
5,23,0.179,26.76,18.98,62.3,74.9,137.2,0,0,0,14.1,0
7,25,0.219,28.79,20.87,67.7,80.3,148,0,0,0,14.1,0
7,23,0.233,18.26,9.26,63.6,76.1,139.7,0,0,0,14.2,0
2,25,0.074,18.57,9.61,49.6,62.1,111.7,0,0,0,14.2,0
4,24,0.143,18.35,12.54,64.5,77,141.5,0,0,0,14.2,0
6,24,0.2,21.12,13.74,66.5,79,145.5,0,0,0,14.2,0
3,23,0.115,30,21.09,55.3,67.8,123.1,0,0,0,14.2,0
4,27,0.129,18.76,11.29,62.7,75.1,137.8,0,0,0,14.3,0
3,25,0.107,18.52,11.84,55.5,67.9,123.4,0,0,0,14.3,0
5,25,0.167,11.89,3.48,60.1,72.4,132.5,0,0,0,14.4,0
4,24,0.143,20.14,11.02,65.1,77.4,142.5,0,0,0,14.4,0
4,22,0.154,21.37,12.31,53.3,65.6,118.9,0,0,0,14.4,0
4,25,0.138,18.39,12.38,64.1,76.4,140.5,0,0,0,14.4,0
5,23,0.179,20.71,13.15,63.4,75.7,139.1,0,0,0,14.4,0
4,28,0.125,21.1,13.56,57.9,70.2,128.1,0,0,0,14.4,0
3,23,0.115,24.68,16.95,62.7,75,137.7,0,0,0,14.4,0
6,22,0.214,11.5,3.33,70.5,82.7,153.2,0,0,0,14.5,0
4,23,0.148,19.48,10.22,60.1,72.3,132.4,0,0,0,14.5,0
7,22,0.241,18.23,12.3,60.1,72.3,132.4,0,0,0,14.5,0
5,26,0.161,20.23,12.65,55.4,67.6,123,0,0,0,14.5,0
6,27,0.182,22.15,12.98,60,72.2,132.2,0,0,0,14.5,0
7,25,0.219,22.03,13.78,71.3,83.5,154.8,0,0,0,14.5,0
7,24,0.226,19.15,14.55,60.2,72.4,132.6,0,0,0,14.5,0
5,22,0.185,20.59,12.9,56.1,68.2,124.3,0,0,0,14.6,0
6,22,0.214,27.63,18.33,62,74.1,136.1,0,0,0,14.6,0
6,22,0.214,16.05,8.87,57.4,69.4,126.8,0,0,0,14.7,0
3,24,0.111,15.58,9.05,55.9,67.9,123.8,0,0,0,14.7,0
5,21,0.192,20.12,10.67,66.3,78.3,144.6,0,0,0,14.7,0
6,21,0.222,10.29,4.83,73.1,85,158.1,0,0,0,14.8,0
7,25,0.219,14.94,5.41,62.8,74.7,137.5,0,0,0,14.8,0
7,25,0.219,16.36,7.17,58.4,70.3,128.7,0,0,0,14.8,0
5,23,0.179,18.78,9.29,65.5,77.4,142.9,0,0,0,14.8,0
3,26,0.103,18.86,9.38,60.8,72.7,133.5,0,0,0,14.8,0
4,23,0.148,19.66,10.07,64.7,76.6,141.3,0,0,0,14.8,0
5,27,0.156,19.49,11.08,72.4,84.3,156.7,0,0,0,14.8,0
3,24,0.111,25.96,16.4,61.1,73,134.1,0,0,0,14.8,0
8,27,0.229,15.99,6.33,65.5,77.3,142.8,0,0,0,14.9,0
3,27,0.1,21.65,12.01,63.2,75,138.2,0,0,0,14.9,0
4,26,0.133,25.57,16.95,68.1,79.9,148,0,0,0,14.9,0
7,22,0.241,12.26,3.13,57.8,69.5,127.3,0,0,0,15,0
4,22,0.154,16.86,7.18,60.7,72.4,133.1,0,0,0,15,0
4,25,0.138,17.69,8.55,64,75.7,139.7,0,0,0,15,0
6,22,0.214,21.44,12.22,60.5,72.2,132.7,0,0,0,15,0
4,24,0.143,22.13,12.4,69.3,81,150.3,0,0,0,15,0
8,22,0.267,12.12,4.04,60,71.6,131.6,0,0,0,15.1,0
3,25,0.107,16.51,6.75,65.4,77,142.4,0,0,0,15.1,0
10,20,0.333,17.3,10.5,66.3,77.9,144.2,0,0,0,15.1,0
5,23,0.179,21.44,13.72,60,71.6,131.6,0,0,0,15.1,0
5,22,0.185,23.09,13.89,67.9,79.5,147.4,0,0,0,15.1,0
4,25,0.138,25.51,17.72,60.4,72,132.4,0,0,0,15.1,0
6,24,0.2,17.05,7.14,58.4,69.9,128.3,0,0,0,15.2,0
5,23,0.179,17.39,8.98,54,65.5,119.5,0,0,0,15.2,0
7,19,0.269,17.99,9.18,68.5,80,148.5,0,0,0,15.2,0
5,23,0.179,20.99,11.05,59.5,71,130.5,0,0,0,15.2,0
7,22,0.241,22.13,12.21,67.7,79.2,146.9,0,0,0,15.2,0
9,23,0.281,24.62,16.32,61.7,73.2,134.9,0,0,0,15.2,0
